timestamp,frame,gaze,hand,trajectory,predicted_action,alert_flag
1744349219.7,1190,unknown,unknown,unknown,unknown,NO
1744349220.45,1200,unknown,unknown,right,unknown,NO
1744349221.16,1210,unknown,unknown,left,unknown,NO
1744349221.88,1220,unknown,unknown,right,unknown,NO
1744349222.58,1230,unknown,unknown,left,unknown,NO
1744349223.29,1240,unknown,unknown,right,unknown,NO
1744349224.0,1250,unknown,unknown,left,unknown,NO
1744349224.7,1260,unknown,unknown,right,unknown,NO
1744349225.41,1270,unknown,unknown,center,unknown,NO
1744349226.12,1280,unknown,unknown,right,unknown,NO
1744349226.82,1290,unknown,unknown,center,unknown,NO
1744349227.53,1300,unknown,unknown,left,unknown,NO
1744349228.24,1310,unknown,unknown,center,unknown,NO
1744349228.94,1320,unknown,unknown,left,unknown,NO
1744349229.65,1330,unknown,unknown,left,unknown,NO
1744349230.37,1340,unknown,unknown,right,unknown,NO
1744349231.07,1350,unknown,unknown,center,unknown,NO
1744349231.78,1360,unknown,unknown,right,unknown,NO
1744349232.48,1370,unknown,unknown,left,unknown,NO
1744349233.19,1380,unknown,unknown,right,unknown,NO
1744349233.89,1390,unknown,unknown,left,unknown,NO
1744349234.6,1400,unknown,unknown,right,unknown,NO
1744349235.37,1410,unknown,unknown,left,unknown,NO
1744349236.12,1420,unknown,unknown,left,unknown,NO
1744349236.87,1430,unknown,unknown,left,unknown,NO
1744349237.57,1440,unknown,unknown,center,unknown,NO
1744349238.27,1450,unknown,unknown,right,unknown,NO
1744349238.99,1460,unknown,unknown,center,unknown,NO
1744349239.72,1470,unknown,unknown,center,unknown,NO
1744349240.44,1480,unknown,unknown,left,unknown,NO
1744349241.14,1490,unknown,unknown,center,unknown,NO
1744349241.95,1500,unknown,unknown,right,unknown,NO
1744349242.79,1510,unknown,unknown,center,unknown,NO
1744349243.57,1520,unknown,unknown,right,unknown,NO
1744349244.29,1530,unknown,unknown,right,unknown,NO
1744349245.0,1540,unknown,unknown,left,unknown,NO
1744349245.7,1550,unknown,unknown,left,unknown,NO
1744349246.4,1560,unknown,unknown,right,unknown,NO
1744349247.1,1570,unknown,unknown,left,unknown,NO
1744349247.82,1580,unknown,unknown,right,unknown,NO
1744349248.53,1590,unknown,unknown,left,unknown,NO
1744349249.23,1600,unknown,unknown,center,unknown,NO
1744349249.94,1610,unknown,unknown,center,unknown,NO
1744349250.64,1620,unknown,unknown,center,unknown,NO
1744349251.35,1630,unknown,unknown,left,unknown,NO
1744349252.06,1640,unknown,unknown,right,unknown,NO
1744349252.77,1650,unknown,unknown,center,unknown,NO
1744349253.48,1660,unknown,unknown,left,unknown,NO
1744349254.18,1670,unknown,unknown,center,unknown,NO
1744349254.89,1680,unknown,unknown,right,unknown,NO
1744349255.59,1690,unknown,unknown,center,unknown,NO
1744349256.3,1700,unknown,unknown,center,unknown,NO
1744349257.01,1710,unknown,unknown,center,unknown,NO
1744349257.72,1720,unknown,unknown,center,unknown,NO
1744349258.43,1730,unknown,unknown,center,unknown,NO
1744349259.13,1740,unknown,unknown,left,unknown,NO
1744349259.84,1750,unknown,unknown,center,unknown,NO
1744349260.54,1760,unknown,unknown,right,unknown,NO
1744349261.25,1770,unknown,unknown,left,unknown,NO
1744349261.96,1780,unknown,unknown,left,unknown,NO
1744349262.66,1790,unknown,unknown,right,unknown,NO
1744349263.37,1800,unknown,unknown,center,unknown,NO
1744349264.08,1810,unknown,unknown,left,unknown,NO
1744349264.79,1820,unknown,unknown,right,unknown,NO
1744349265.49,1830,unknown,unknown,left,unknown,NO
1744349266.2,1840,unknown,unknown,right,unknown,NO
1744349266.9,1850,unknown,unknown,left,unknown,NO
1744349267.61,1860,unknown,unknown,left,unknown,NO
1744349268.32,1870,unknown,unknown,right,unknown,NO
1744349269.03,1880,unknown,unknown,left,unknown,NO
1744349269.72,1890,unknown,unknown,left,unknown,NO
1744349270.44,1900,unknown,open,right,unknown,NO
1744349271.15,1910,unknown,unknown,left,unknown,NO
1744349271.85,1920,unknown,unknown,right,unknown,NO
1744349272.56,1930,unknown,unknown,left,unknown,NO
1744349273.26,1940,unknown,unknown,center,unknown,NO
1744349273.97,1950,unknown,unknown,right,unknown,NO
1744349274.68,1960,unknown,unknown,left,unknown,NO
1744349275.39,1970,unknown,unknown,center,unknown,NO
1744349276.1,1980,unknown,unknown,right,unknown,NO
1744349276.81,1990,unknown,unknown,left,unknown,NO
1744349277.52,2000,unknown,unknown,right,unknown,NO
1744349278.22,2010,unknown,unknown,left,unknown,NO
1744349278.93,2020,unknown,unknown,right,unknown,NO
1744349279.63,2030,unknown,unknown,center,unknown,NO
1744349280.34,2040,unknown,unknown,right,unknown,NO
1744349281.05,2050,unknown,unknown,left,unknown,NO
1744349281.76,2060,unknown,unknown,center,unknown,NO
1744349282.46,2070,unknown,unknown,left,unknown,NO
1744349283.17,2080,unknown,unknown,right,unknown,NO
1744349283.86,2090,unknown,unknown,left,unknown,NO
1744349284.57,2100,unknown,unknown,left,unknown,NO
1744349285.29,2110,unknown,unknown,right,unknown,NO
1744349286.0,2120,unknown,unknown,right,unknown,NO
1744349286.71,2130,unknown,unknown,left,unknown,NO
1744349287.41,2140,unknown,unknown,center,unknown,NO
1744349288.11,2150,unknown,unknown,center,unknown,NO
1744349288.83,2160,unknown,unknown,right,unknown,NO
1744349289.54,2170,unknown,unknown,right,unknown,NO
1744349290.24,2180,unknown,unknown,center,unknown,NO
1744349290.95,2190,unknown,unknown,right,unknown,NO
1744349291.65,2200,unknown,unknown,left,unknown,NO
1744349292.35,2210,unknown,unknown,right,unknown,NO
1744349293.07,2220,unknown,unknown,center,unknown,NO
1744349293.77,2230,unknown,unknown,center,unknown,NO
1744349294.48,2240,unknown,unknown,center,unknown,NO
1744349295.19,2250,unknown,unknown,right,unknown,NO
1744349295.9,2260,unknown,unknown,left,unknown,NO
1744349296.61,2270,unknown,unknown,right,unknown,NO
1744349297.31,2280,unknown,unknown,left,unknown,NO
1744349298.01,2290,unknown,unknown,center,unknown,NO
1744349298.71,2300,unknown,unknown,right,unknown,NO
1744349299.43,2310,unknown,unknown,center,unknown,NO
1744349300.14,2320,unknown,unknown,center,unknown,NO
1744349300.84,2330,unknown,unknown,center,unknown,NO
1744349301.55,2340,unknown,unknown,left,unknown,NO
1744349302.26,2350,unknown,unknown,center,unknown,NO
1744349302.96,2360,unknown,unknown,center,unknown,NO
1744349303.66,2370,unknown,unknown,left,unknown,NO
1744349304.38,2380,unknown,unknown,right,unknown,NO
1744349305.07,2390,unknown,unknown,center,unknown,NO
1744349305.78,2400,unknown,unknown,right,unknown,NO
1744349306.49,2410,unknown,unknown,center,unknown,NO
1744349307.19,2420,unknown,unknown,right,unknown,NO
1744349307.9,2430,unknown,unknown,left,unknown,NO
1744349308.63,2440,unknown,unknown,right,unknown,NO
1744349309.33,2450,unknown,unknown,left,unknown,NO
1744349310.04,2460,unknown,unknown,right,unknown,NO
1744349310.75,2470,unknown,unknown,center,unknown,NO
1744349311.45,2480,unknown,unknown,center,unknown,NO
1744349312.16,2490,unknown,unknown,center,unknown,NO
1744349312.87,2500,unknown,unknown,center,unknown,NO
1744349313.57,2510,unknown,unknown,right,unknown,NO
1744349314.28,2520,unknown,unknown,center,unknown,NO
1744349314.98,2530,unknown,unknown,left,unknown,NO
1744349315.68,2540,unknown,unknown,left,unknown,NO
1744349316.4,2550,unknown,unknown,right,unknown,NO
1744349317.11,2560,unknown,unknown,left,unknown,NO
1744349317.81,2570,unknown,unknown,center,unknown,NO
